en,fr,it,de,es,ko,kana
Legends tell of its fighting alongside a general and conquering a whole country.,Legends tell of its fighting alongside a general and conquering a whole country.,Legends tell of its fighting alongside a general and conquering a whole country.,Legends tell of its fighting alongside a general and conquering a whole country.,Legends tell of its fighting alongside a general and conquering a whole country.,Legends tell of its fighting alongside a general and conquering a whole country.,Legends tell of its fighting alongside a general and conquering a whole country.
"Despite the danger, it wants to come up on land. So it does its best to waddle along, but when an enemy finds it, it rushes back to the water.","Despite the danger, it wants to come up on land. So it does its best to waddle along, but when an enemy finds it, it rushes back to the water.","Despite the danger, it wants to come up on land. So it does its best to waddle along, but when an enemy finds it, it rushes back to the water.","Despite the danger, it wants to come up on land. So it does its best to waddle along, but when an enemy finds it, it rushes back to the water.","Despite the danger, it wants to come up on land. So it does its best to waddle along, but when an enemy finds it, it rushes back to the water.","Despite the danger, it wants to come up on land. So it does its best to waddle along, but when an enemy finds it, it rushes back to the water.","Despite the danger, it wants to come up on land. So it does its best to waddle along, but when an enemy finds it, it rushes back to the water."
"Although it has become capable of living on land, it spends its time in the water, where its prey, fish Pokémon, are plentiful.","Although it has become capable of living on land, it spends its time in the water, where its prey, fish Pokémon, are plentiful.","Although it has become capable of living on land, it spends its time in the water, where its prey, fish Pokémon, are plentiful.","Although it has become capable of living on land, it spends its time in the water, where its prey, fish Pokémon, are plentiful.","Although it has become capable of living on land, it spends its time in the water, where its prey, fish Pokémon, are plentiful.","Although it has become capable of living on land, it spends its time in the water, where its prey, fish Pokémon, are plentiful.","Although it has become capable of living on land, it spends its time in the water, where its prey, fish Pokémon, are plentiful."
"It’s quite a gifted swimmer, even among Water-type Pokémon, but it normally spends its time on land.","It’s quite a gifted swimmer, even among Water-type Pokémon, but it normally spends its time on land.","It’s quite a gifted swimmer, even among Water-type Pokémon, but it normally spends its time on land.","It’s quite a gifted swimmer, even among Water-type Pokémon, but it normally spends its time on land.","It’s quite a gifted swimmer, even among Water-type Pokémon, but it normally spends its time on land.","It’s quite a gifted swimmer, even among Water-type Pokémon, but it normally spends its time on land.","It’s quite a gifted swimmer, even among Water-type Pokémon, but it normally spends its time on land."
"It uses various psychic powers even while it’s sleeping, so you can’t tell whether or not it’s awake.","It uses various psychic powers even while it’s sleeping, so you can’t tell whether or not it’s awake.","It uses various psychic powers even while it’s sleeping, so you can’t tell whether or not it’s awake.","It uses various psychic powers even while it’s sleeping, so you can’t tell whether or not it’s awake.","It uses various psychic powers even while it’s sleeping, so you can’t tell whether or not it’s awake.","It uses various psychic powers even while it’s sleeping, so you can’t tell whether or not it’s awake.","It uses various psychic powers even while it’s sleeping, so you can’t tell whether or not it’s awake."
"It stares at a silver spoon to amplify its psychic powers before it lets loose. Apparently, gold spoons are no good.","It stares at a silver spoon to amplify its psychic powers before it lets loose. Apparently, gold spoons are no good.","It stares at a silver spoon to amplify its psychic powers before it lets loose. Apparently, gold spoons are no good.","It stares at a silver spoon to amplify its psychic powers before it lets loose. Apparently, gold spoons are no good.","It stares at a silver spoon to amplify its psychic powers before it lets loose. Apparently, gold spoons are no good.","It stares at a silver spoon to amplify its psychic powers before it lets loose. Apparently, gold spoons are no good.","It stares at a silver spoon to amplify its psychic powers before it lets loose. Apparently, gold spoons are no good."
Alakazam uses its psychic powers to make the spoons it carries. Each spoon is an original that there’s only one of in the whole world.,Alakazam uses its psychic powers to make the spoons it carries. Each spoon is an original that there’s only one of in the whole world.,Alakazam uses its psychic powers to make the spoons it carries. Each spoon is an original that there’s only one of in the whole world.,Alakazam uses its psychic powers to make the spoons it carries. Each spoon is an original that there’s only one of in the whole world.,Alakazam uses its psychic powers to make the spoons it carries. Each spoon is an original that there’s only one of in the whole world.,Alakazam uses its psychic powers to make the spoons it carries. Each spoon is an original that there’s only one of in the whole world.,Alakazam uses its psychic powers to make the spoons it carries. Each spoon is an original that there’s only one of in the whole world.
"Once this Pokémon has gained enough confidence and muscle from training with its friends, it challenges Makuhita to a battle.","Once this Pokémon has gained enough confidence and muscle from training with its friends, it challenges Makuhita to a battle.","Once this Pokémon has gained enough confidence and muscle from training with its friends, it challenges Makuhita to a battle.","Once this Pokémon has gained enough confidence and muscle from training with its friends, it challenges Makuhita to a battle.","Once this Pokémon has gained enough confidence and muscle from training with its friends, it challenges Makuhita to a battle.","Once this Pokémon has gained enough confidence and muscle from training with its friends, it challenges Makuhita to a battle.","Once this Pokémon has gained enough confidence and muscle from training with its friends, it challenges Makuhita to a battle."
"When it encounters an enemy that’s truly mighty, this Pokémon removes the power-save belt from its waist and unleashes its full power.","When it encounters an enemy that’s truly mighty, this Pokémon removes the power-save belt from its waist and unleashes its full power.","When it encounters an enemy that’s truly mighty, this Pokémon removes the power-save belt from its waist and unleashes its full power.","When it encounters an enemy that’s truly mighty, this Pokémon removes the power-save belt from its waist and unleashes its full power.","When it encounters an enemy that’s truly mighty, this Pokémon removes the power-save belt from its waist and unleashes its full power.","When it encounters an enemy that’s truly mighty, this Pokémon removes the power-save belt from its waist and unleashes its full power.","When it encounters an enemy that’s truly mighty, this Pokémon removes the power-save belt from its waist and unleashes its full power."
It grasps its opponents with its four arms and twists them up in an intricate hold. People call it “the Machamp special.”,It grasps its opponents with its four arms and twists them up in an intricate hold. People call it “the Machamp special.”,It grasps its opponents with its four arms and twists them up in an intricate hold. People call it “the Machamp special.”,It grasps its opponents with its four arms and twists them up in an intricate hold. People call it “the Machamp special.”,It grasps its opponents with its four arms and twists them up in an intricate hold. People call it “the Machamp special.”,It grasps its opponents with its four arms and twists them up in an intricate hold. People call it “the Machamp special.”,It grasps its opponents with its four arms and twists them up in an intricate hold. People call it “the Machamp special.”
It prefers hot and humid environments. It is quick at capturing prey with its vines.,It prefers hot and humid environments. It is quick at capturing prey with its vines.,It prefers hot and humid environments. It is quick at capturing prey with its vines.,It prefers hot and humid environments. It is quick at capturing prey with its vines.,It prefers hot and humid environments. It is quick at capturing prey with its vines.,It prefers hot and humid environments. It is quick at capturing prey with its vines.,It prefers hot and humid environments. It is quick at capturing prey with its vines.
This Pokémon has the appearance of a plant. It captures unwary prey by dousing them with a toxic powder.,This Pokémon has the appearance of a plant. It captures unwary prey by dousing them with a toxic powder.,This Pokémon has the appearance of a plant. It captures unwary prey by dousing them with a toxic powder.,This Pokémon has the appearance of a plant. It captures unwary prey by dousing them with a toxic powder.,This Pokémon has the appearance of a plant. It captures unwary prey by dousing them with a toxic powder.,This Pokémon has the appearance of a plant. It captures unwary prey by dousing them with a toxic powder.,This Pokémon has the appearance of a plant. It captures unwary prey by dousing them with a toxic powder.
"In its mouth, it pools a fragrant nectar-like fluid. The fluid is really an acid that dissolves anything.","In its mouth, it pools a fragrant nectar-like fluid. The fluid is really an acid that dissolves anything.","In its mouth, it pools a fragrant nectar-like fluid. The fluid is really an acid that dissolves anything.","In its mouth, it pools a fragrant nectar-like fluid. The fluid is really an acid that dissolves anything.","In its mouth, it pools a fragrant nectar-like fluid. The fluid is really an acid that dissolves anything.","In its mouth, it pools a fragrant nectar-like fluid. The fluid is really an acid that dissolves anything.","In its mouth, it pools a fragrant nectar-like fluid. The fluid is really an acid that dissolves anything."
"It drifts through the sea searching for prey. Its poisonous tentacles break off sometimes, but after a while, they grow back.","It drifts through the sea searching for prey. Its poisonous tentacles break off sometimes, but after a while, they grow back.","It drifts through the sea searching for prey. Its poisonous tentacles break off sometimes, but after a while, they grow back.","It drifts through the sea searching for prey. Its poisonous tentacles break off sometimes, but after a while, they grow back.","It drifts through the sea searching for prey. Its poisonous tentacles break off sometimes, but after a while, they grow back.","It drifts through the sea searching for prey. Its poisonous tentacles break off sometimes, but after a while, they grow back.","It drifts through the sea searching for prey. Its poisonous tentacles break off sometimes, but after a while, they grow back."
"It fires off ultrasonic waves from its red orbs to weaken its prey, and then it wraps them up in its 80 tentacles.","It fires off ultrasonic waves from its red orbs to weaken its prey, and then it wraps them up in its 80 tentacles.","It fires off ultrasonic waves from its red orbs to weaken its prey, and then it wraps them up in its 80 tentacles.","It fires off ultrasonic waves from its red orbs to weaken its prey, and then it wraps them up in its 80 tentacles.","It fires off ultrasonic waves from its red orbs to weaken its prey, and then it wraps them up in its 80 tentacles.","It fires off ultrasonic waves from its red orbs to weaken its prey, and then it wraps them up in its 80 tentacles.","It fires off ultrasonic waves from its red orbs to weaken its prey, and then it wraps them up in its 80 tentacles."
"Geodude that have lived a long life have had all their edges smoothed out until they’re totally round. They also have a calm, quiet disposition.","Geodude that have lived a long life have had all their edges smoothed out until they’re totally round. They also have a calm, quiet disposition.","Geodude that have lived a long life have had all their edges smoothed out until they’re totally round. They also have a calm, quiet disposition.","Geodude that have lived a long life have had all their edges smoothed out until they’re totally round. They also have a calm, quiet disposition.","Geodude that have lived a long life have had all their edges smoothed out until they’re totally round. They also have a calm, quiet disposition.","Geodude that have lived a long life have had all their edges smoothed out until they’re totally round. They also have a calm, quiet disposition.","Geodude that have lived a long life have had all their edges smoothed out until they’re totally round. They also have a calm, quiet disposition."
"It climbs up cliffs as it heads toward the peak of a mountain. As soon as it reaches the summit, it rolls back down the way it came.","It climbs up cliffs as it heads toward the peak of a mountain. As soon as it reaches the summit, it rolls back down the way it came.","It climbs up cliffs as it heads toward the peak of a mountain. As soon as it reaches the summit, it rolls back down the way it came.","It climbs up cliffs as it heads toward the peak of a mountain. As soon as it reaches the summit, it rolls back down the way it came.","It climbs up cliffs as it heads toward the peak of a mountain. As soon as it reaches the summit, it rolls back down the way it came.","It climbs up cliffs as it heads toward the peak of a mountain. As soon as it reaches the summit, it rolls back down the way it came.","It climbs up cliffs as it heads toward the peak of a mountain. As soon as it reaches the summit, it rolls back down the way it came."
"When Golem grow old, they stop shedding their shells. Those that have lived a long, long time have shells green with moss.","When Golem grow old, they stop shedding their shells. Those that have lived a long, long time have shells green with moss.","When Golem grow old, they stop shedding their shells. Those that have lived a long, long time have shells green with moss.","When Golem grow old, they stop shedding their shells. Those that have lived a long, long time have shells green with moss.","When Golem grow old, they stop shedding their shells. Those that have lived a long, long time have shells green with moss.","When Golem grow old, they stop shedding their shells. Those that have lived a long, long time have shells green with moss.","When Golem grow old, they stop shedding their shells. Those that have lived a long, long time have shells green with moss."
"If you’ve been accepted by Ponyta, its burning mane is mysteriously no longer hot to the touch.","If you’ve been accepted by Ponyta, its burning mane is mysteriously no longer hot to the touch.","If you’ve been accepted by Ponyta, its burning mane is mysteriously no longer hot to the touch.","If you’ve been accepted by Ponyta, its burning mane is mysteriously no longer hot to the touch.","If you’ve been accepted by Ponyta, its burning mane is mysteriously no longer hot to the touch.","If you’ve been accepted by Ponyta, its burning mane is mysteriously no longer hot to the touch.","If you’ve been accepted by Ponyta, its burning mane is mysteriously no longer hot to the touch."
"The fastest runner becomes the leader, and it decides the herd’s pace and direction of travel.","The fastest runner becomes the leader, and it decides the herd’s pace and direction of travel.","The fastest runner becomes the leader, and it decides the herd’s pace and direction of travel.","The fastest runner becomes the leader, and it decides the herd’s pace and direction of travel.","The fastest runner becomes the leader, and it decides the herd’s pace and direction of travel.","The fastest runner becomes the leader, and it decides the herd’s pace and direction of travel.","The fastest runner becomes the leader, and it decides the herd’s pace and direction of travel."
"There are some places where Slowpoke is worshiped because of a long-standing belief that whenever Slowpoke yawns, it rains.","There are some places where Slowpoke is worshiped because of a long-standing belief that whenever Slowpoke yawns, it rains.","There are some places where Slowpoke is worshiped because of a long-standing belief that whenever Slowpoke yawns, it rains.","There are some places where Slowpoke is worshiped because of a long-standing belief that whenever Slowpoke yawns, it rains.","There are some places where Slowpoke is worshiped because of a long-standing belief that whenever Slowpoke yawns, it rains.","There are some places where Slowpoke is worshiped because of a long-standing belief that whenever Slowpoke yawns, it rains.","There are some places where Slowpoke is worshiped because of a long-standing belief that whenever Slowpoke yawns, it rains."
"Spacing out is basically all it does. It turns back into Slowpoke if its tail, along with Shellder, breaks off.","Spacing out is basically all it does. It turns back into Slowpoke if its tail, along with Shellder, breaks off.","Spacing out is basically all it does. It turns back into Slowpoke if its tail, along with Shellder, breaks off.","Spacing out is basically all it does. It turns back into Slowpoke if its tail, along with Shellder, breaks off.","Spacing out is basically all it does. It turns back into Slowpoke if its tail, along with Shellder, breaks off.","Spacing out is basically all it does. It turns back into Slowpoke if its tail, along with Shellder, breaks off.","Spacing out is basically all it does. It turns back into Slowpoke if its tail, along with Shellder, breaks off."
"It’s frequently the cause of power outages, which is why some power plants send out electrical signals that it can’t stand.","It’s frequently the cause of power outages, which is why some power plants send out electrical signals that it can’t stand.","It’s frequently the cause of power outages, which is why some power plants send out electrical signals that it can’t stand.","It’s frequently the cause of power outages, which is why some power plants send out electrical signals that it can’t stand.","It’s frequently the cause of power outages, which is why some power plants send out electrical signals that it can’t stand.","It’s frequently the cause of power outages, which is why some power plants send out electrical signals that it can’t stand.","It’s frequently the cause of power outages, which is why some power plants send out electrical signals that it can’t stand."
"Delicate equipment can malfunction in areas inhabited by Magneton, which send out mysterious electrical signals.","Delicate equipment can malfunction in areas inhabited by Magneton, which send out mysterious electrical signals.","Delicate equipment can malfunction in areas inhabited by Magneton, which send out mysterious electrical signals.","Delicate equipment can malfunction in areas inhabited by Magneton, which send out mysterious electrical signals.","Delicate equipment can malfunction in areas inhabited by Magneton, which send out mysterious electrical signals.","Delicate equipment can malfunction in areas inhabited by Magneton, which send out mysterious electrical signals.","Delicate equipment can malfunction in areas inhabited by Magneton, which send out mysterious electrical signals."
"They use a plant stalk as a weapon, but not all of them use it in the same way. Several distinct styles of stalk fighting have been observed.","They use a plant stalk as a weapon, but not all of them use it in the same way. Several distinct styles of stalk fighting have been observed.","They use a plant stalk as a weapon, but not all of them use it in the same way. Several distinct styles of stalk fighting have been observed.","They use a plant stalk as a weapon, but not all of them use it in the same way. Several distinct styles of stalk fighting have been observed.","They use a plant stalk as a weapon, but not all of them use it in the same way. Several distinct styles of stalk fighting have been observed.","They use a plant stalk as a weapon, but not all of them use it in the same way. Several distinct styles of stalk fighting have been observed.","They use a plant stalk as a weapon, but not all of them use it in the same way. Several distinct styles of stalk fighting have been observed."
The brains in its two heads appear to communicate emotions to each other with a telepathic power.,The brains in its two heads appear to communicate emotions to each other with a telepathic power.,The brains in its two heads appear to communicate emotions to each other with a telepathic power.,The brains in its two heads appear to communicate emotions to each other with a telepathic power.,The brains in its two heads appear to communicate emotions to each other with a telepathic power.,The brains in its two heads appear to communicate emotions to each other with a telepathic power.,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
"When Doduo evolves into this odd breed, one of its heads splits into two. This Pokémon runs at nearly 40 mph.","When Doduo evolves into this odd breed, one of its heads splits into two. This Pokémon runs at nearly 40 mph.","When Doduo evolves into this odd breed, one of its heads splits into two. This Pokémon runs at nearly 40 mph.","When Doduo evolves into this odd breed, one of its heads splits into two. This Pokémon runs at nearly 40 mph.","When Doduo evolves into this odd breed, one of its heads splits into two. This Pokémon runs at nearly 40 mph.","When Doduo evolves into this odd breed, one of its heads splits into two. This Pokémon runs at nearly 40 mph.","When Doduo evolves into this odd breed, one of its heads splits into two. This Pokémon runs at nearly 40 mph."
It has always been supposed that Seel live only in cold seas. Their having shown up in Alola is a mystery.,It has always been supposed that Seel live only in cold seas. Their having shown up in Alola is a mystery.,It has always been supposed that Seel live only in cold seas. Their having shown up in Alola is a mystery.,It has always been supposed that Seel live only in cold seas. Their having shown up in Alola is a mystery.,It has always been supposed that Seel live only in cold seas. Their having shown up in Alola is a mystery.,It has always been supposed that Seel live only in cold seas. Their having shown up in Alola is a mystery.,It has always been supposed that Seel live only in cold seas. Their having shown up in Alola is a mystery.
"It swims through the ocean at a speed of eight knots, searching for Pokémon that will become its prey. It’s especially fond of Wishiwashi.","It swims through the ocean at a speed of eight knots, searching for Pokémon that will become its prey. It’s especially fond of Wishiwashi.","It swims through the ocean at a speed of eight knots, searching for Pokémon that will become its prey. It’s especially fond of Wishiwashi.","It swims through the ocean at a speed of eight knots, searching for Pokémon that will become its prey. It’s especially fond of Wishiwashi.","It swims through the ocean at a speed of eight knots, searching for Pokémon that will become its prey. It’s especially fond of Wishiwashi.","It swims through the ocean at a speed of eight knots, searching for Pokémon that will become its prey. It’s especially fond of Wishiwashi.","It swims through the ocean at a speed of eight knots, searching for Pokémon that will become its prey. It’s especially fond of Wishiwashi."
"It was born from sludge on the ocean floor. In a sterile environment, the germs within its body can’t multiply, and it dies.","It was born from sludge on the ocean floor. In a sterile environment, the germs within its body can’t multiply, and it dies.","It was born from sludge on the ocean floor. In a sterile environment, the germs within its body can’t multiply, and it dies.","It was born from sludge on the ocean floor. In a sterile environment, the germs within its body can’t multiply, and it dies.","It was born from sludge on the ocean floor. In a sterile environment, the germs within its body can’t multiply, and it dies.","It was born from sludge on the ocean floor. In a sterile environment, the germs within its body can’t multiply, and it dies.","It was born from sludge on the ocean floor. In a sterile environment, the germs within its body can’t multiply, and it dies."
"Their food sources have decreased, and their numbers have declined sharply. Sludge ponds are being built to prevent their extinction.","Their food sources have decreased, and their numbers have declined sharply. Sludge ponds are being built to prevent their extinction.","Their food sources have decreased, and their numbers have declined sharply. Sludge ponds are being built to prevent their extinction.","Their food sources have decreased, and their numbers have declined sharply. Sludge ponds are being built to prevent their extinction.","Their food sources have decreased, and their numbers have declined sharply. Sludge ponds are being built to prevent their extinction.","Their food sources have decreased, and their numbers have declined sharply. Sludge ponds are being built to prevent their extinction.","Their food sources have decreased, and their numbers have declined sharply. Sludge ponds are being built to prevent their extinction."
"The sand that accumulates inside its shell eventually becomes a pearl. But the pearl gets in the way, so it spits it out and discards it.","The sand that accumulates inside its shell eventually becomes a pearl. But the pearl gets in the way, so it spits it out and discards it.","The sand that accumulates inside its shell eventually becomes a pearl. But the pearl gets in the way, so it spits it out and discards it.","The sand that accumulates inside its shell eventually becomes a pearl. But the pearl gets in the way, so it spits it out and discards it.","The sand that accumulates inside its shell eventually becomes a pearl. But the pearl gets in the way, so it spits it out and discards it.","The sand that accumulates inside its shell eventually becomes a pearl. But the pearl gets in the way, so it spits it out and discards it.","The sand that accumulates inside its shell eventually becomes a pearl. But the pearl gets in the way, so it spits it out and discards it."
"If areas of Cloyster’s very hard shell get damaged, those areas swell, gradually growing into large sharp spikes.","If areas of Cloyster’s very hard shell get damaged, those areas swell, gradually growing into large sharp spikes.","If areas of Cloyster’s very hard shell get damaged, those areas swell, gradually growing into large sharp spikes.","If areas of Cloyster’s very hard shell get damaged, those areas swell, gradually growing into large sharp spikes.","If areas of Cloyster’s very hard shell get damaged, those areas swell, gradually growing into large sharp spikes.","If areas of Cloyster’s very hard shell get damaged, those areas swell, gradually growing into large sharp spikes.","If areas of Cloyster’s very hard shell get damaged, those areas swell, gradually growing into large sharp spikes."
It’s said that gas emanating from a graveyard was possessed by the grievances of the deceased and thus became a Pokémon.,It’s said that gas emanating from a graveyard was possessed by the grievances of the deceased and thus became a Pokémon.,It’s said that gas emanating from a graveyard was possessed by the grievances of the deceased and thus became a Pokémon.,It’s said that gas emanating from a graveyard was possessed by the grievances of the deceased and thus became a Pokémon.,It’s said that gas emanating from a graveyard was possessed by the grievances of the deceased and thus became a Pokémon.,It’s said that gas emanating from a graveyard was possessed by the grievances of the deceased and thus became a Pokémon.,It’s said that gas emanating from a graveyard was possessed by the grievances of the deceased and thus became a Pokémon.
"On moonless nights, Haunter searches for someone to curse, so it’s best not to go out walking around.","On moonless nights, Haunter searches for someone to curse, so it’s best not to go out walking around.","On moonless nights, Haunter searches for someone to curse, so it’s best not to go out walking around.","On moonless nights, Haunter searches for someone to curse, so it’s best not to go out walking around.","On moonless nights, Haunter searches for someone to curse, so it’s best not to go out walking around.","On moonless nights, Haunter searches for someone to curse, so it’s best not to go out walking around.","On moonless nights, Haunter searches for someone to curse, so it’s best not to go out walking around."
You can hear tales told all over the world about how Gengar will pay a visit to children who are naughty.,You can hear tales told all over the world about how Gengar will pay a visit to children who are naughty.,You can hear tales told all over the world about how Gengar will pay a visit to children who are naughty.,You can hear tales told all over the world about how Gengar will pay a visit to children who are naughty.,You can hear tales told all over the world about how Gengar will pay a visit to children who are naughty.,You can hear tales told all over the world about how Gengar will pay a visit to children who are naughty.,You can hear tales told all over the world about how Gengar will pay a visit to children who are naughty.
"It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body.","It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body.","It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body.","It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body.","It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body.","It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body.","It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body."
"It can be spotted near recreational facilities, intending to eat the pleasant dreams of children who enjoyed themselves there that day.","It can be spotted near recreational facilities, intending to eat the pleasant dreams of children who enjoyed themselves there that day.","It can be spotted near recreational facilities, intending to eat the pleasant dreams of children who enjoyed themselves there that day.","It can be spotted near recreational facilities, intending to eat the pleasant dreams of children who enjoyed themselves there that day.","It can be spotted near recreational facilities, intending to eat the pleasant dreams of children who enjoyed themselves there that day.","It can be spotted near recreational facilities, intending to eat the pleasant dreams of children who enjoyed themselves there that day.","It can be spotted near recreational facilities, intending to eat the pleasant dreams of children who enjoyed themselves there that day."
"In Alola, Komala is Hypno’s main target. It rarely harms people.","In Alola, Komala is Hypno’s main target. It rarely harms people.","In Alola, Komala is Hypno’s main target. It rarely harms people.","In Alola, Komala is Hypno’s main target. It rarely harms people.","In Alola, Komala is Hypno’s main target. It rarely harms people.","In Alola, Komala is Hypno’s main target. It rarely harms people.","In Alola, Komala is Hypno’s main target. It rarely harms people."
"If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.","If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.","If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.","If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.","If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.","If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.","If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger."
"Its oversized claw is very powerful, but when it’s not in battle, the claw just gets in the way.","Its oversized claw is very powerful, but when it’s not in battle, the claw just gets in the way.","Its oversized claw is very powerful, but when it’s not in battle, the claw just gets in the way.","Its oversized claw is very powerful, but when it’s not in battle, the claw just gets in the way.","Its oversized claw is very powerful, but when it’s not in battle, the claw just gets in the way.","Its oversized claw is very powerful, but when it’s not in battle, the claw just gets in the way.","Its oversized claw is very powerful, but when it’s not in battle, the claw just gets in the way."
"It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.","It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.","It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.","It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.","It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.","It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.","It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode."
"The more energy it charges up, the faster it gets. But this also makes it more likely to explode.","The more energy it charges up, the faster it gets. But this also makes it more likely to explode.","The more energy it charges up, the faster it gets. But this also makes it more likely to explode.","The more energy it charges up, the faster it gets. But this also makes it more likely to explode.","The more energy it charges up, the faster it gets. But this also makes it more likely to explode.","The more energy it charges up, the faster it gets. But this also makes it more likely to explode.","The more energy it charges up, the faster it gets. But this also makes it more likely to explode."
"Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six.","Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six.","Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six.","Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six.","Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six.","Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six.","Six of them form a single Pokémon. Should one of the six be lost, the next morning there will once more be six."
"It engages its enemies using psychic powers. Each of its three heads fires off psychokinetic energy, tripling its power.","It engages its enemies using psychic powers. Each of its three heads fires off psychokinetic energy, tripling its power.","It engages its enemies using psychic powers. Each of its three heads fires off psychokinetic energy, tripling its power.","It engages its enemies using psychic powers. Each of its three heads fires off psychokinetic energy, tripling its power.","It engages its enemies using psychic powers. Each of its three heads fires off psychokinetic energy, tripling its power.","It engages its enemies using psychic powers. Each of its three heads fires off psychokinetic energy, tripling its power.","It engages its enemies using psychic powers. Each of its three heads fires off psychokinetic energy, tripling its power."
"At night, it weeps loudly for its dead mother, but those cries only attract its natural enemy—Mandibuzz.","At night, it weeps loudly for its dead mother, but those cries only attract its natural enemy—Mandibuzz.","At night, it weeps loudly for its dead mother, but those cries only attract its natural enemy—Mandibuzz.","At night, it weeps loudly for its dead mother, but those cries only attract its natural enemy—Mandibuzz.","At night, it weeps loudly for its dead mother, but those cries only attract its natural enemy—Mandibuzz.","At night, it weeps loudly for its dead mother, but those cries only attract its natural enemy—Mandibuzz.","At night, it weeps loudly for its dead mother, but those cries only attract its natural enemy—Mandibuzz."
It throws bones at Mandibuzz to knock it down. It’s thought that Marowak is trying to avenge its parent.,It throws bones at Mandibuzz to knock it down. It’s thought that Marowak is trying to avenge its parent.,It throws bones at Mandibuzz to knock it down. It’s thought that Marowak is trying to avenge its parent.,It throws bones at Mandibuzz to knock it down. It’s thought that Marowak is trying to avenge its parent.,It throws bones at Mandibuzz to knock it down. It’s thought that Marowak is trying to avenge its parent.,It throws bones at Mandibuzz to knock it down. It’s thought that Marowak is trying to avenge its parent.,It throws bones at Mandibuzz to knock it down. It’s thought that Marowak is trying to avenge its parent.
The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.,The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.,The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.,The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.,The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.,The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.,The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.
"Its punches slice the air. However, it seems to need a short break after fighting for three minutes.","Its punches slice the air. However, it seems to need a short break after fighting for three minutes.","Its punches slice the air. However, it seems to need a short break after fighting for three minutes.","Its punches slice the air. However, it seems to need a short break after fighting for three minutes.","Its punches slice the air. However, it seems to need a short break after fighting for three minutes.","Its punches slice the air. However, it seems to need a short break after fighting for three minutes.","Its punches slice the air. However, it seems to need a short break after fighting for three minutes."
"It checks out whatever’s around it by licking everything. If you don’t clean off a spot where it’s licked you, you’ll break out in a rash!","It checks out whatever’s around it by licking everything. If you don’t clean off a spot where it’s licked you, you’ll break out in a rash!","It checks out whatever’s around it by licking everything. If you don’t clean off a spot where it’s licked you, you’ll break out in a rash!","It checks out whatever’s around it by licking everything. If you don’t clean off a spot where it’s licked you, you’ll break out in a rash!","It checks out whatever’s around it by licking everything. If you don’t clean off a spot where it’s licked you, you’ll break out in a rash!","It checks out whatever’s around it by licking everything. If you don’t clean off a spot where it’s licked you, you’ll break out in a rash!","It checks out whatever’s around it by licking everything. If you don’t clean off a spot where it’s licked you, you’ll break out in a rash!"
